"Model","Covariate","Sample_Size","N_False_Covariates","n_sims","true_effect","mean_estimate","bias","rmse_estimate","mean_SE","empirical_SE","power_or_type_I","coverage","mean_RMSE_data","mean_RMSE_latent","effect_type","performance_metric"
"Covariate_Only","false_1",50,1,50,0,0.0151041010314514,0.0151041010314514,0.290987798110853,0.194270913381628,0.293545818802035,0.16,0.84,0.279279915777861,0.212774839836614,"No Effect","Type I Error"
"Covariate_Only","false_1",50,3,50,0,0.026031725331893,0.026031725331893,0.309809683146931,0.205763745221291,0.311848323034509,0.2,0.76,0.271924044903568,0.199819099711907,"No Effect","Type I Error"
"Covariate_Only","false_1",50,5,50,0,-0.0124863614663638,-0.0124863614663638,0.293507902261,0.20738506329172,0.296219340042628,0.18,0.82,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"Covariate_Only","false_1",100,1,50,0,-0.016667076230981,-0.016667076230981,0.263994151858172,0.139073500123352,0.266142360219661,0.34,0.66,0.276692512178876,0.200624226144846,"No Effect","Type I Error"
"Covariate_Only","false_1",100,3,50,0,0.0372646027124507,0.0372646027124507,0.250581781851567,0.146736231671445,0.250311191586103,0.3,0.7,0.271582518292441,0.191649875601707,"No Effect","Type I Error"
"Covariate_Only","false_1",100,5,50,0,-0.00878106267139456,-0.00878106267139456,0.284703597511932,0.152410712165924,0.287457239720896,0.3,0.7,0.260164627840623,0.182817989514804,"No Effect","Type I Error"
"Covariate_Only","false_1",200,1,50,0,-0.0779385524308709,-0.0779385524308709,0.319056273054378,0.0988101730021739,0.312531610516065,0.48,0.52,0.280195501216995,0.194677547198999,"No Effect","Type I Error"
"Covariate_Only","false_1",200,3,50,0,0.0214534175750348,0.0214534175750348,0.26998910615222,0.109477330204013,0.2718678181134,0.54,0.46,0.271854876140381,0.194819589865348,"No Effect","Type I Error"
"Covariate_Only","false_1",200,5,50,0,0.0110016851567484,0.0110016851567484,0.240425379530798,0.112939680440716,0.242611905688648,0.42,0.58,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"Covariate_Only","false_2",50,3,50,0,-0.0586930196006989,-0.0586930196006989,0.332924215788575,0.205009107719797,0.331036811117567,0.18,0.8,0.271924044903568,0.199819099711907,"No Effect","Type I Error"
"Covariate_Only","false_2",50,5,50,0,0.0162354882325554,0.0162354882325554,0.309024187336004,0.220972993013833,0.311730452115363,0.12,0.88,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"Covariate_Only","false_2",100,3,50,0,0.0249952050303014,0.0249952050303014,0.238115228594577,0.151394247032208,0.239203827809923,0.22,0.76,0.271582518292441,0.191649875601707,"No Effect","Type I Error"
"Covariate_Only","false_2",100,5,50,0,0.0482083068332315,0.0482083068332315,0.260505750098971,0.158798423712233,0.258605374620389,0.2,0.8,0.260164627840623,0.182817989514804,"No Effect","Type I Error"
"Covariate_Only","false_2",200,3,50,0,-0.0131808078585813,-0.0131808078585813,0.265252023669338,0.100945455008329,0.267613989378538,0.44,0.56,0.271854876140381,0.194819589865348,"No Effect","Type I Error"
"Covariate_Only","false_2",200,5,50,0,-0.0125830057464135,-0.0125830057464135,0.316395494946648,0.107749501656507,0.319354861781993,0.48,0.52,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"Covariate_Only","false_3",50,3,50,0,0.0817889634441759,0.0817889634441759,0.331587926276744,0.210990375846166,0.324605126380796,0.24,0.76,0.271924044903568,0.199819099711907,"No Effect","Type I Error"
"Covariate_Only","false_3",50,5,50,0,-0.0551902188113863,-0.0551902188113863,0.286704248809333,0.212007001731778,0.284198418098822,0.18,0.78,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"Covariate_Only","false_3",100,3,50,0,0.0473341219420554,0.0473341219420554,0.261165647944983,0.145157264550479,0.259447955078442,0.32,0.68,0.271582518292441,0.191649875601707,"No Effect","Type I Error"
"Covariate_Only","false_3",100,5,50,0,-0.0109869361402788,-0.0109869361402788,0.287141139328625,0.151469522099011,0.289843943107867,0.3,0.7,0.260164627840623,0.182817989514804,"No Effect","Type I Error"
"Covariate_Only","false_3",200,3,50,0,0.0120956835360385,0.0120956835360385,0.288202361769123,0.102653566326197,0.290871834755756,0.42,0.56,0.271854876140381,0.194819589865348,"No Effect","Type I Error"
"Covariate_Only","false_3",200,5,50,0,0.0100746444048387,0.0100746444048387,0.259461269597754,0.108878228569034,0.261897806758851,0.36,0.62,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"Covariate_Only","false_4",50,5,50,0,-0.0129514121924888,-0.0129514121924888,0.330105577813255,0.215605788081105,0.33320024227893,0.2,0.74,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"Covariate_Only","false_4",100,5,50,0,0.0694411697013396,0.0694411697013396,0.250340157924082,0.149583696694243,0.242958211364323,0.22,0.76,0.260164627840623,0.182817989514804,"No Effect","Type I Error"
"Covariate_Only","false_4",200,5,50,0,-0.0294808113496976,-0.0294808113496976,0.265861821160028,0.108069839452652,0.266904763479506,0.46,0.54,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"Covariate_Only","false_5",50,5,50,0,-0.0482221376032535,-0.0482221376032535,0.294193886994638,0.221753559227915,0.293161285604934,0.14,0.86,0.254670121593669,0.190895027401086,"No Effect","Type I Error"
"Covariate_Only","false_5",100,5,50,0,0.0148719463690834,0.0148719463690834,0.258651429852005,0.149689800786916,0.260845147932016,0.2,0.78,0.260164627840623,0.182817989514804,"No Effect","Type I Error"
"Covariate_Only","false_5",200,5,50,0,0.0212793532730869,0.0212793532730869,0.275889089744453,0.108912670852034,0.277859858533005,0.4,0.58,0.262879344803762,0.173401168024783,"No Effect","Type I Error"
"Covariate_Only","real",50,1,50,1,1.04891251789851,0.0489125178985118,0.403522471410731,0.207394968564317,0.404613635972075,0.96,0.82,0.279279915777861,0.212774839836614,"Real Effect","Power"
"Covariate_Only","real",50,3,50,1,1.17971914376625,0.179719143766248,0.367008540013122,0.207076524813257,0.323242970797337,0.98,0.72,0.271924044903568,0.199819099711907,"Real Effect","Power"
"Covariate_Only","real",50,5,50,1,0.965213855403074,-0.0347861445969258,0.28479842767582,0.227616225367465,0.285535780935757,0.92,0.94,0.254670121593669,0.190895027401086,"Real Effect","Power"
"Covariate_Only","real",100,1,50,1,0.961743045915213,-0.0382569540847869,0.252746706486237,0.136375848576385,0.252371007875542,1,0.74,0.276692512178876,0.200624226144846,"Real Effect","Power"
"Covariate_Only","real",100,3,50,1,1.01149009174389,0.0114900917438877,0.275648724190347,0.143694290288298,0.278205248229306,0.98,0.74,0.271582518292441,0.191649875601707,"Real Effect","Power"
"Covariate_Only","real",100,5,50,1,0.944154365017477,-0.0558456349825232,0.334511766671794,0.152336213534065,0.333165686388956,0.94,0.7,0.260164627840623,0.182817989514804,"Real Effect","Power"
"Covariate_Only","real",200,1,50,1,0.986127179929342,-0.0138728200706582,0.251153435519287,0.0997059165639047,0.253315953872137,1,0.58,0.280195501216995,0.194677547198999,"Real Effect","Power"
"Covariate_Only","real",200,3,50,1,1.0321529546387,0.0321529546386992,0.301974445466839,0.110964303071397,0.303306192066573,0.98,0.6,0.271854876140381,0.194819589865348,"Real Effect","Power"
"Covariate_Only","real",200,5,50,1,1.01277106390266,0.0127710639026595,0.238217791382814,0.109681987477827,0.240290249783295,1,0.62,0.262879344803762,0.173401168024783,"Real Effect","Power"
"VAST_GMRF","false_1",50,1,50,0,-0.0087583624329288,-0.0087583624329288,0.224298824036038,0.225178793974398,0.22640322875628,0.0408163265306122,0.959183673469388,0.287556166670143,0.222373531930374,"No Effect","Type I Error"
"VAST_GMRF","false_1",50,3,50,0,-0.0106265411939269,-0.0106265411939269,0.261888649898098,0.24805316304206,0.26432961328016,0.06,0.94,0.286705560075381,0.217999547614187,"No Effect","Type I Error"
"VAST_GMRF","false_1",50,5,50,0,-0.0340386520550724,-0.0340386520550724,0.247607798905058,0.235580859991685,0.247746974785133,0.1,0.9,0.267132882625675,0.206110028537491,"No Effect","Type I Error"
"VAST_GMRF","false_1",100,1,50,0,-0.00774756018050968,-0.00774756018050968,0.174759090111732,0.186391235613627,0.176359775158073,0.06,0.94,0.282501693176656,0.208499664914089,"No Effect","Type I Error"
"VAST_GMRF","false_1",100,3,50,0,0.00980139286360026,0.00980139286360026,0.171863392089166,0.188298054344123,0.1733256880002,0.06,0.94,0.282338953827523,0.205506649518805,"No Effect","Type I Error"
