"Model","Simulation","Sample_Size","N_False_Covariates","Covariate","True_Effect","Estimate","SE","p_value","Significant","RMSE_data","RMSE_latent"
"VAST_GMRF",7,50,1,"false_1",0,-0.101555327672449,0.291036589706144,0.727131723271633,FALSE,0.33049339050644,0.220943370673008
"VAST_RSR",7,50,1,"real",1,0.622440361823894,0.160572384054249,0.000106019935405377,TRUE,0.329098799055926,0.216801249698658
"VAST_RSR",7,50,1,"false_1",0,-0.0778492674354192,0.126520267115013,0.5383495874783,FALSE,0.329098799055926,0.216801249698658
"VAST_Selected",7,50,1,"real",1,NA,NA,NA,NA,0.352094903363361,0.253564913287708
"Covariate_Only",8,50,1,"real",1,1.09463991446701,0.19579950737969,1.11474786254133e-06,TRUE,0.288548513159315,0.220481867059445
"Covariate_Only",8,50,1,"false_1",0,-0.600038340058449,0.207691346937128,0.00582717801881754,TRUE,0.288548513159315,0.220481867059445
"VAST_GMRF",8,50,1,"real",1,1.2649478463495,0.253602608473254,6.10349184193559e-07,TRUE,0.294575879248126,0.239507827525517
"VAST_GMRF",8,50,1,"false_1",0,-0.391333683403747,0.237032345086095,0.0987443625696938,FALSE,0.294575879248126,0.239507827525517
"VAST_RSR",8,50,1,"real",1,1.09463991446702,0.155923056830078,2.21256346577547e-12,TRUE,0.288548513159315,0.220481867059445
"VAST_RSR",8,50,1,"false_1",0,-0.600038340058449,0.165393009027317,0.000285675397441842,TRUE,0.288548513159315,0.220481867059445
"VAST_Selected",8,50,1,"real",1,1.03392773379747,0.156301415786997,3.71650488162345e-11,TRUE,0.313123930317659,0.246405488184716
"Covariate_Only",9,50,1,"real",1,0.753303383448617,0.16656978506688,4.14072554323458e-05,TRUE,0.291230036858858,0.25563100382832
"Covariate_Only",9,50,1,"false_1",0,-0.0923679712100418,0.321263762137284,0.774982380782913,FALSE,0.291230036858858,0.25563100382832
"VAST_GMRF",9,50,1,"real",1,0.833893448116393,0.209394618494882,6.82223949264316e-05,TRUE,0.292107844467274,0.257347865933383
"VAST_GMRF",9,50,1,"false_1",0,-0.0858172661452525,0.247140143484474,0.728410041565708,FALSE,0.292107844467274,0.257347865933383
"VAST_RSR",9,50,1,"real",1,0.753303383448617,0.0857043605867022,0,TRUE,0.291230036858858,0.25563100382832
"VAST_RSR",9,50,1,"false_1",0,-0.0923679712100421,0.165298318074909,0.5763012323766,FALSE,0.291230036858858,0.25563100382832
"VAST_Selected",9,50,1,"real",1,0.771395931917513,0.0782865439034232,0,TRUE,0.291486034995299,0.25673606003571
"Covariate_Only",10,50,1,"real",1,1.23861657949484,0.213934275513496,5.59342669794983e-07,TRUE,0.28738756460648,0.205561326162078
"Covariate_Only",10,50,1,"false_1",0,-0.170025678716158,0.211271989838014,0.425003936202296,FALSE,0.28738756460648,0.205561326162078
"VAST_GMRF",10,50,1,"real",1,1.16214934562257,0.24620356082683,2.35522089575557e-06,TRUE,0.290017123387949,0.209774646884315
"VAST_GMRF",10,50,1,"false_1",0,-0.35591530266828,0.236180323968436,0.131819823291563,FALSE,0.290017123387949,0.209774646884315
"VAST_RSR",10,50,1,"real",1,1.23861657949484,0.157110620327696,3.21964677141295e-15,TRUE,0.28738756460648,0.205561326162078
"VAST_RSR",10,50,1,"false_1",0,-0.170025678716158,0.155155471471999,0.273148498710924,FALSE,0.28738756460648,0.205561326162078
"VAST_Selected",10,50,1,"real",1,1.25077602185571,0.150526529005317,1.11022302462516e-16,TRUE,0.289360881537096,0.205945813136264
"Covariate_Only",11,50,1,"real",1,1.20896286329592,0.178874145617258,1.89925160490472e-08,TRUE,0.237665394912567,0.240465404206596
"Covariate_Only",11,50,1,"false_1",0,-0.149831753393787,0.150595189467838,0.324864945240823,FALSE,0.237665394912567,0.240465404206596
"VAST_GMRF",11,50,1,"real",1,1.00895148862635,0.19044996376591,1.1725453175071e-07,TRUE,0.246990718809443,0.251741357429506
"VAST_GMRF",11,50,1,"false_1",0,0.0261214932918197,0.170680378719475,0.87836410643553,FALSE,0.246990718809443,0.251741357429506
"VAST_RSR",11,50,1,"real",1,1.20896286329592,0.139503900912267,0,TRUE,0.237665394912567,0.240465404206596
"VAST_RSR",11,50,1,"false_1",0,-0.149831753393787,0.117449150165827,0.202055950577356,FALSE,0.237665394912567,0.240465404206596
"VAST_Selected",11,50,1,"real",1,1.26267659208031,0.132560459836539,0,TRUE,0.240155139289858,0.24212526740253
"Covariate_Only",12,50,1,"real",1,1.47781955131722,0.166577262414611,1.31670738897672e-11,TRUE,0.255949778832691,0.195392537294134
"Covariate_Only",12,50,1,"false_1",0,0.5303508490152,0.188336118247945,0.00708565373546406,TRUE,0.255949778832691,0.195392537294134
"VAST_GMRF",12,50,1,"real",1,1.32089645387101,0.187694212377772,1.95732319241415e-12,TRUE,0.25952576271593,0.195904438456514
"VAST_GMRF",12,50,1,"false_1",0,0.452173745502107,0.197420778088363,0.0219977888614703,TRUE,0.25952576271593,0.195904438456514
"VAST_RSR",12,50,1,"real",1,1.47781955131722,0.151671680278471,0,TRUE,0.255949778832691,0.195392537294134
"VAST_RSR",12,50,1,"false_1",0,0.5303508490152,0.171483521206464,0.00198329867841884,TRUE,0.255949778832691,0.195392537294134
"VAST_Selected",12,50,1,"real",1,1.47781955131722,0.151671680278471,0,TRUE,0.255949778832691,0.195392537294134
"VAST_Selected",12,50,1,"false_1",0,0.5303508490152,0.171483521206464,0.00198329867841884,TRUE,0.255949778832691,0.195392537294134
"Covariate_Only",13,50,1,"real",1,1.14250505914222,0.191800855766189,3.1295262156753e-07,TRUE,0.272670494827152,0.275537688608369
"Covariate_Only",13,50,1,"false_1",0,0.175594996626031,0.221563373591833,0.43203568171819,FALSE,0.272670494827152,0.275537688608369
"VAST_GMRF",13,50,1,"real",1,0.945597567805801,0.214778179034664,1.06926464179535e-05,TRUE,0.278531633501772,0.286262836685133
"VAST_GMRF",13,50,1,"false_1",0,0.429963525948998,0.267857099151619,0.108450363884508,FALSE,0.278531633501772,0.286262836685133
"VAST_RSR",13,50,1,"real",1,1.14250505914221,0.0455790305739616,0,TRUE,0.272670494827153,0.275537688608369
"VAST_RSR",13,50,1,"false_1",0,0.175594996626031,0.0526517138762028,0.000852904810495048,TRUE,0.272670494827153,0.275537688608369
"VAST_Selected",13,50,1,"real",1,1.17517572601832,0.0861748685673807,0,TRUE,0.274486407202334,0.273352827114695
"Covariate_Only",14,50,1,"real",1,1.06490329750005,0.19337682208682,1.48831456844484e-06,TRUE,0.257111210947539,0.19135596912488
"Covariate_Only",14,50,1,"false_1",0,0.0907464661003675,0.219137326812198,0.680678998989074,FALSE,0.257111210947539,0.19135596912488
"VAST_GMRF",14,50,1,"real",1,1.02578210445579,0.223274724307651,4.3428791277611e-06,TRUE,0.257659371043425,0.18981142076701
"VAST_GMRF",14,50,1,"false_1",0,0.094421273494821,0.26499079775565,0.721601632676241,FALSE,0.257659371043425,0.18981142076701
"VAST_RSR",14,50,1,"real",1,1.06490329750005,0.124595355003,0,TRUE,0.257111210947539,0.19135596912488
"VAST_RSR",14,50,1,"false_1",0,0.0907464661003674,0.141193203683509,0.520411453746948,FALSE,0.257111210947539,0.19135596912488
"VAST_Selected",14,50,1,"real",1,1.03411976408606,0.172049462020601,1.84842807726682e-09,TRUE,0.257579834682424,0.192124406114344
"Covariate_Only",15,50,1,"real",1,0.7463318625937,0.157535668783245,2.03106666944739e-05,TRUE,0.248867568025767,0.144314538037933
"Covariate_Only",15,50,1,"false_1",0,0.188058482672877,0.156094664960343,0.234322922760308,FALSE,0.248867568025767,0.144314538037933
"VAST_GMRF",15,50,1,"real",1,1.06275688932489,0.216537585915917,9.20306125085091e-07,TRUE,0.266669543471015,0.169016650212355
"VAST_GMRF",15,50,1,"false_1",0,-0.0732809624530883,0.210384885242534,0.727600948917977,FALSE,0.266669543471015,0.169016650212355
"VAST_RSR",15,50,1,"real",1,0.7463318625937,0.120288912663309,5.48730949567755e-10,TRUE,0.248867568025767,0.144314538037933
"VAST_RSR",15,50,1,"false_1",0,0.188058482672877,0.119188610843794,0.114606372585453,FALSE,0.248867568025767,0.144314538037933
"VAST_Selected",15,50,1,"real",1,0.742878359062972,0.120597344396967,7.2749828383678e-10,TRUE,0.252681169822498,0.153844172799601
"Covariate_Only",16,50,1,"real",1,0.800490927284965,0.192534744342187,0.000135157987573111,TRUE,0.253249741857774,0.199505318270223
"Covariate_Only",16,50,1,"false_1",0,0.0094247524098358,0.195050650813151,0.961666352707041,FALSE,0.253249741857774,0.199505318270223
"VAST_GMRF",16,50,1,"real",1,0.909909716759493,0.241063028215809,0.000160282717748483,TRUE,0.254563156694446,0.201788340832661
"VAST_GMRF",16,50,1,"false_1",0,0.0405079446438548,0.197983028593871,0.837882220381154,FALSE,0.254563156694446,0.201788340832661
"VAST_RSR",16,50,1,"real",1,0.800490927284964,0.130205298169002,7.85087661547834e-10,TRUE,0.253249741857774,0.199505318270223
"VAST_RSR",16,50,1,"false_1",0,0.00942475240983584,0.13190672797242,0.943039516278889,FALSE,0.253249741857774,0.199505318270223
"VAST_Selected",16,50,1,"real",1,0.802362363027604,0.128008267201613,3.65594776674527e-10,TRUE,0.253256032005671,0.199483382597586
"Covariate_Only",17,50,1,"real",1,0.578160159685409,0.221172285155053,0.0119834385670387,TRUE,0.244717230923234,0.148961724467979
"Covariate_Only",17,50,1,"false_1",0,-0.278039729947478,0.157949257647902,0.084861629803066,FALSE,0.244717230923234,0.148961724467979
"VAST_GMRF",17,50,1,"real",1,0.489465461634071,0.232946043027653,0.0356237011893763,TRUE,0.246073993113609,0.154185595457357
"VAST_GMRF",17,50,1,"false_1",0,-0.172920401702515,0.222013566248601,0.436054452425133,FALSE,0.246073993113609,0.154185595457357
"VAST_RSR",17,50,1,"real",1,0.57816015968541,0.184086642150494,0.00168546950579895,TRUE,0.244717230923234,0.148961724467979
"VAST_RSR",17,50,1,"false_1",0,-0.278039729947478,0.131464701602109,0.0344352080038482,TRUE,0.244717230923234,0.148961724467979
"VAST_Selected",17,50,1,"real",1,0.505369589444068,0.178679603939584,0.00467876961339886,TRUE,0.252655535855254,0.16352764347874
"Covariate_Only",18,50,1,"real",1,0.44797652443678,0.273050106369977,0.107548915976947,FALSE,0.292652291754116,0.266852014647706
"Covariate_Only",18,50,1,"false_1",0,0.155176238189139,0.164206330878576,0.349488021685599,FALSE,0.292652291754116,0.266852014647706
"VAST_GMRF",18,50,1,"real",1,1.01446742354427,0.295191318268949,0.000588969540679551,TRUE,0.314977168305969,0.279500886682406
"VAST_GMRF",18,50,1,"false_1",0,-0.0171709048402003,0.18647046622605,0.926631477714766,FALSE,0.314977168305969,0.279500886682406
"VAST_RSR",18,50,1,"real",1,0.44797652443678,0.180548340206035,0.0130940915807842,TRUE,0.292652291754116,0.266852014647706
"VAST_RSR",18,50,1,"false_1",0,0.155176238189139,0.108577802387956,0.152955112450347,FALSE,0.292652291754116,0.266852014647706
"VAST_Selected",18,50,1,"real",1,0.369356947461336,0.17198164445853,0.0317413072844802,TRUE,0.295419528249974,0.268557528364835
"Covariate_Only",19,50,1,"real",1,0.985481394451579,0.256068418265577,0.000357575426351634,TRUE,0.352764761456835,0.301686489555067
"Covariate_Only",19,50,1,"false_1",0,0.0800687672948079,0.18605383812099,0.668906128737486,FALSE,0.352764761456835,0.301686489555067
"VAST_GMRF",19,50,1,"real",1,0.802970137528431,0.22097805603433,0.000279375029874407,TRUE,0.357837215435699,0.308622443274626
"VAST_GMRF",19,50,1,"false_1",0,-0.0515935834768275,0.19252585259725,0.788712692515817,FALSE,0.357837215435699,0.308622443274626
"VAST_RSR",19,50,1,"real",1,0.985481394451579,0.0323837699525453,0,TRUE,0.352764761456835,0.301686489555067
"VAST_RSR",19,50,1,"false_1",0,0.0800687672948077,0.0235293549017411,0.000666671550476505,TRUE,0.352764761456835,0.301686489555067
"VAST_Selected",19,50,1,"real",1,1.01287261640793,0.0300166465401217,0,TRUE,0.353459112602648,0.302221544198578
"Covariate_Only",20,50,1,"real",1,0.85757611175881,0.231213301490806,0.00054897277831461,TRUE,0.241316774574393,0.166617638581322
"Covariate_Only",20,50,1,"false_1",0,0.198329951971117,0.192689825623491,0.308620513816825,FALSE,0.241316774574393,0.166617638581322
"VAST_GMRF",20,50,1,"real",1,1.00574142303457,0.233918685461102,1.71157347924611e-05,TRUE,0.256609256163739,0.190413158857153
"VAST_GMRF",20,50,1,"false_1",0,-0.271539948081347,0.240716976517369,0.259300272430871,FALSE,0.256609256163739,0.190413158857153
"VAST_RSR",20,50,1,"real",1,0.85757611175881,3.91438810850346e-05,0,TRUE,0.241316774574393,0.166617638581322
"VAST_RSR",20,50,1,"false_1",0,0.198329951971117,3.26219450692023e-05,0,TRUE,0.241316774574393,0.166617638581322
"VAST_Selected",20,50,1,"real",1,0.959221666319123,1.69621832223527e-05,0,TRUE,0.244021304832783,0.171285285796809
"Covariate_Only",21,50,1,"real",1,0.750690819181767,0.212382703931612,0.000929042404967788,TRUE,0.31103249047605,0.217288007825195
"Covariate_Only",21,50,1,"false_1",0,0.0157237915409998,0.163700090847338,0.923887327680059,FALSE,0.31103249047605,0.217288007825195
"VAST_GMRF",21,50,1,"real",1,0.938521242247936,0.271170182882968,0.000538163675929293,TRUE,0.314081990515485,0.216404240882355
"VAST_GMRF",21,50,1,"false_1",0,0.0480674445660959,0.224471383894561,0.830440862891387,FALSE,0.314081990515485,0.216404240882355
"VAST_RSR",21,50,1,"real",1,0.750690819181768,0.15568052412914,1.42129004643277e-06,TRUE,0.31103249047605,0.217288007825195
"VAST_RSR",21,50,1,"false_1",0,0.0157237915409997,0.119995251361466,0.895746210773892,FALSE,0.31103249047605,0.217288007825195
"VAST_Selected",21,50,1,"real",1,0.754265978177722,0.154726503003961,1.08900129791589e-06,TRUE,0.311063016715534,0.216871488567758
"Covariate_Only",22,50,1,"real",1,0.960669456001178,0.150530489332921,7.09547186913358e-08,TRUE,0.246834596468637,0.209486854812656
"Covariate_Only",22,50,1,"false_1",0,-0.151829468872253,0.145804083158135,0.303051758631412,FALSE,0.246834596468637,0.209486854812656
"VAST_GMRF",22,50,1,"real",1,0.923977552058652,0.191774898284435,1.44981291816393e-06,TRUE,0.247842729907263,0.213801112998823
"VAST_GMRF",22,50,1,"false_1",0,-0.0642889806095171,0.181010219985092,0.722463972983563,FALSE,0.247842729907263,0.213801112998823
"VAST_RSR",22,50,1,"real",1,0.960669456001178,0.0834165413730663,0,TRUE,0.246834596468637,0.209486854812656
"VAST_RSR",22,50,1,"false_1",0,-0.151829468872253,0.0807974011711567,0.0602256492283354,FALSE,0.246834596468637,0.209486854812656
"VAST_Selected",22,50,1,"real",1,0.917081358171542,0.082116157778809,0,TRUE,0.249665775920335,0.216451502179268
"Covariate_Only",23,50,1,"real",1,0.953732419313374,0.179386164485079,2.86206196200875e-06,TRUE,0.276963004969336,0.189598651952715
"Covariate_Only",23,50,1,"false_1",0,-0.334112701444356,0.287008663254315,0.250250564920515,FALSE,0.276963004969336,0.189598651952715
"VAST_GMRF",23,50,1,"real",1,0.965597972901191,0.184873452695976,1.76027175946558e-07,TRUE,0.277012320217794,0.189939834086742
"VAST_GMRF",23,50,1,"false_1",0,-0.30415438545048,0.289908694495003,0.294114358876003,FALSE,0.277012320217794,0.189939834086742
"VAST_RSR",23,50,1,"real",1,0.953732419313374,0.176666055431041,6.719884382278e-08,TRUE,0.276963004969336,0.189598651952715
"VAST_RSR",23,50,1,"false_1",0,-0.334112701444356,0.282656628270199,0.237188060249795,FALSE,0.276963004969336,0.189598651952715
"VAST_Selected",23,50,1,"real",1,0.93383064154569,0.175239198122203,9.88141014568455e-08,TRUE,0.280927543318886,0.196859468973918
"Covariate_Only",24,50,1,"real",1,0.822738735349169,0.204834463130551,0.00021145487533132,TRUE,0.30710231336072,0.204817612565137
"Covariate_Only",24,50,1,"false_1",0,-0.347578962724313,0.214196598678435,0.111340984069724,FALSE,0.30710231336072,0.204817612565137
"VAST_GMRF",24,50,1,"real",1,0.7005256453653,0.253477352403151,0.00571567681111507,TRUE,0.310223058827081,0.210351555671788
"VAST_GMRF",24,50,1,"false_1",0,-0.199136013735039,0.268659637780521,0.458559794663816,FALSE,0.310223058827081,0.210351555671788
"VAST_RSR",24,50,1,"real",1,0.822738735349169,0.133322902986208,6.78494371797456e-10,TRUE,0.30710231336072,0.204817612565137
"VAST_RSR",24,50,1,"false_1",0,-0.347578962724313,0.139416541089474,0.0126634239958593,TRUE,0.30710231336072,0.204817612565137
"VAST_Selected",24,50,1,"real",1,0.856421853443235,0.126568975294981,1.31986643836512e-11,TRUE,0.315587827349779,0.212612560243262
"Covariate_Only",25,50,1,"real",1,0.773287700735312,0.160496280581403,1.55167032068039e-05,TRUE,0.253959166198135,0.174046723226342
"Covariate_Only",25,50,1,"false_1",0,0.068300357933535,0.172620793104795,0.694141037534189,FALSE,0.253959166198135,0.174046723226342
"VAST_GMRF",25,50,1,"real",1,0.908002940816159,0.226980841453407,6.32487129610393e-05,TRUE,0.257052820618408,0.176984113018665
"VAST_GMRF",25,50,1,"false_1",0,0.231328072217033,0.224528176581955,0.302876113363611,FALSE,0.257052820618408,0.176984113018665
"VAST_RSR",25,50,1,"real",1,0.773287700735312,0.12187124564955,2.22251883563729e-10,TRUE,0.253959166198135,0.174046723226342
"VAST_RSR",25,50,1,"false_1",0,0.068300357933535,0.131077872985501,0.60232007781102,FALSE,0.253959166198135,0.174046723226342
"VAST_Selected",25,50,1,"real",1,0.747779629745005,0.107206170636031,3.05533376376843e-12,TRUE,0.254381771154015,0.174626182048536
"Covariate_Only",26,50,1,"real",1,1.00178574041566,0.217327465484368,3.10670371442452e-05,TRUE,0.340253637479753,0.219404995699721
"Covariate_Only",26,50,1,"false_1",0,0.0887419529707855,0.328000825410606,0.78791863444421,FALSE,0.340253637479753,0.219404995699721
"VAST_GMRF",26,50,1,"real",1,1.01121115849074,0.294194668758645,0.000587722751859587,TRUE,0.344611034133756,0.214513901188856
"VAST_GMRF",26,50,1,"false_1",0,0.398728271188765,0.392642038007828,0.309867204858982,FALSE,0.344611034133756,0.214513901188856
"VAST_RSR",26,50,1,"real",1,1.00178574041566,0.115237007348021,0,TRUE,0.340253637479753,0.219404995699721
"VAST_RSR",26,50,1,"false_1",0,0.0887419529707855,0.173921107687687,0.609881531677943,FALSE,0.340253637479753,0.219404995699721
"VAST_Selected",26,50,1,"real",1,1.02947974132216,0.0923353818283419,0,TRUE,0.340518496041491,0.22218504712837
"Covariate_Only",27,50,1,"real",1,1.02963839971184,0.136720078579964,1.28681407975165e-09,TRUE,0.240348462614352,0.181474833014434
"Covariate_Only",27,50,1,"false_1",0,-0.0630757142709816,0.155652378305519,0.687143851907015,FALSE,0.240348462614352,0.181474833014434
"VAST_GMRF",27,50,1,"real",1,1.02963839971228,0.136720087693387,5.04041253179821e-14,TRUE,0.240348462614352,0.181474833014439
"VAST_GMRF",27,50,1,"false_1",0,-0.0630757142709043,0.155652388680915,0.685305164823876,FALSE,0.240348462614352,0.181474833014439
"VAST_RSR",27,50,1,"real",1,1.02963839971184,0.136720087692904,5.04041253179821e-14,TRUE,0.240348462614352,0.181474833014434
"VAST_RSR",27,50,1,"false_1",0,-0.0630757142709816,0.155652388680373,0.685305164822472,FALSE,0.240348462614352,0.181474833014434
"VAST_Selected",27,50,1,"real",1,1.0329186279571,0.135996001307971,3.07531777821168e-14,TRUE,0.240767977595341,0.180734599821833
"Covariate_Only",28,50,1,"real",1,1.63054443359904,0.218403322462451,1.61383954148679e-09,TRUE,0.284298769806927,0.20354400587288
"Covariate_Only",28,50,1,"false_1",0,0.0190446548283377,0.223824278465542,0.932553227970156,FALSE,0.284298769806927,0.20354400587288
"VAST_GMRF",28,50,1,"real",1,1.03171936294859,0.333791066480017,0.00199541654894375,TRUE,0.307216783409589,0.250100544270139
"VAST_GMRF",28,50,1,"false_1",0,-0.108205664819799,0.234694900354048,0.64476401380676,FALSE,0.307216783409589,0.250100544270139
"VAST_RSR",28,50,1,"real",1,1.63054443359904,0.134428353127328,0,TRUE,0.284298769806927,0.20354400587288
"VAST_RSR",28,50,1,"false_1",0,0.0190446548283378,0.137764979052496,0.890050604742226,FALSE,0.284298769806927,0.20354400587288
"VAST_Selected",28,50,1,"real",1,1.62912439861621,0.134898253188585,0,TRUE,0.284320665678059,0.203893680876199
"Covariate_Only",29,50,1,"real",1,0.93892722447759,0.20273687547639,2.89146767105612e-05,TRUE,0.219777239724798,0.146353472965517
"Covariate_Only",29,50,1,"false_1",0,-0.199310844256163,0.148510266293384,0.186021624881707,FALSE,0.219777239724798,0.146353472965517
"VAST_GMRF",29,50,1,"real",1,0.938927224463355,0.202736965374859,3.63450361495765e-06,TRUE,0.219777239724798,0.146353472966826
"VAST_GMRF",29,50,1,"false_1",0,-0.199310844222591,0.148510332165217,0.179574210895219,FALSE,0.219777239724798,0.146353472966826
"VAST_RSR",29,50,1,"real",1,0.938927224477591,0.202736965370777,3.63450361207107e-06,TRUE,0.219777239724798,0.146353472965517
"VAST_RSR",29,50,1,"false_1",0,-0.199310844256163,0.148510332143464,0.179574210758194,FALSE,0.219777239724798,0.146353472965517
"VAST_Selected",29,50,1,"real",1,0.960350426599296,0.201510150532931,1.88136569045927e-06,TRUE,0.223948828893466,0.159091832694022
